Name,Link,price
MKR,https://grobotronics.com/arduino-mkr-wan-1310-w-out-antenna-abx00029.html?sl=el,50
GPS,https://grobotronics.com/adafruit-ultimate-gps-with-usb-66-channel.html,45
UV sensor,https://grobotronics.com/si1145-digital-uv-index-ir-visible-light-sensor.html,10
SD micro,https://grobotronics.com/waveshare-micro-sd-storage-board.html,4
GAS sensor,https://www.hellasdigital.gr/electronics/sensors/gas-sensors/mics-5524-mems-gas-sensor-sen0440/?skr_prm=WyJlNDRjZjlkNS1iNDdkLTRhNDQtYmY0MS01M2VlY2U4OGM1YTIiLDE2NjQ2NTU4NTEwNzEseyJhcHBfdHlwZSI6IndlYiIsImNwIjoiZiIsInRhZ3MiOiIifV0,15
TVOC - ECO2,https://grobotronics.com/fermion-air-quality-sensor-ens160.html,15
BMP280,https://www.hellasdigital.gr/electronics/sensors/pressure-sensors/bmp280-high-precision-atmospheric-pressure-sensor-module-for-arduino/,5
CO2,https://grobotronics.com/gas-sensor-co2-mg811.html,32
BUZZER,https://grobotronics.com/buzzer-5v.html,0.5
battery,https://grobotronics.com/battery-rechargeable-18650-3.7v-3000mah-xtar.html,7
WIRES F-F,https://grobotronics.com/ribbon-40wire-20cm-female-to-female.html,3
bt cables,https://grobotronics.com/jst-sh-jumper-2-wire-assembly-10cm.html,0.5
Plaketa,https://grobotronics.com/72x47mm-breadboard.html,1
WIRES M-M,https://grobotronics.com/jumper-wires-15cm-male-to-male-pack-of-10-green.html,2
WIRES M-F,https://grobotronics.com/jumper-wires-15cm-female-to-male-pack-of-10-black.html,2
